run_name,lambda_center,lambda_distill,lambda_anom,anom_margin,epochs,batch_size,return_code,best_val_patchcore_auroc,epoch_best
lc0p1_ld0p3_la1p0_m1p3,0.1,0.3,1.0,1.3,5,4,0,0.4065,4
lc0p1_ld0p3_la3p0_m1p3,0.1,0.3,3.0,1.3,5,4,0,0.4065,4
lc0p1_ld0p5_la1p0_m1p3,0.1,0.5,1.0,1.3,5,4,0,0.3783,2
lc0p1_ld0p5_la3p0_m1p3,0.1,0.5,3.0,1.3,5,4,0,0.3783,2
lc0p3_ld0p3_la1p0_m1p3,0.3,0.3,1.0,1.3,5,4,0,0.5144,4
lc0p3_ld0p3_la3p0_m1p3,0.3,0.3,3.0,1.3,5,4,0,0.5144,4
lc0p3_ld0p5_la1p0_m1p3,0.3,0.5,1.0,1.3,5,4,0,0.4422,4
lc0p3_ld0p5_la3p0_m1p3,0.3,0.5,3.0,1.3,5,4,0,0.4422,4
lc0p5_ld0p3_la1p0_m1p3,0.5,0.3,1.0,1.3,5,4,0,0.514,5
lc0p5_ld0p3_la3p0_m1p3,0.5,0.3,3.0,1.3,5,4,0,0.514,5
lc0p5_ld0p5_la1p0_m1p3,0.5,0.5,1.0,1.3,5,4,0,0.4807,4
lc0p5_ld0p5_la3p0_m1p3,0.5,0.5,3.0,1.3,5,4,0,0.4807,4
