wavelength_nm,srf
4.270000000000000000e+02,7.300000288523733616e-05
4.280000000000000000e+02,6.089999806135892868e-04
4.290000000000000000e+02,1.628000056371092796e-03
4.300000000000000000e+02,3.420999972149729729e-03
4.310000000000000000e+02,8.019000291824340820e-03
4.320000000000000000e+02,2.476700022816658020e-02
4.330000000000000000e+02,8.568800240755081177e-02
4.340000000000000000e+02,2.541489899158477783e-01
4.350000000000000000e+02,5.178210139274597168e-01
4.360000000000000000e+02,7.651169896125793457e-01
4.370000000000000000e+02,9.087489843368530273e-01
4.380000000000000000e+02,9.582039713859558105e-01
4.390000000000000000e+02,9.773929715156555176e-01
4.400000000000000000e+02,9.837899804115295410e-01
4.410000000000000000e+02,9.890519976615905762e-01
4.420000305175781250e+02,9.867129921913146973e-01
4.430000000000000000e+02,9.936829805374145508e-01
4.439999694824218750e+02,9.931370019912719727e-01
4.450000000000000000e+02,1.000000000000000000e+00
4.460000000000000000e+02,9.969689846038818359e-01
4.470000000000000000e+02,9.827799797058105469e-01
4.480000305175781250e+02,9.726920127868652344e-01
4.490000000000000000e+02,9.058079719543457031e-01
4.500000000000000000e+02,7.456060051918029785e-01
4.510000000000000000e+02,4.713290035724639893e-01
4.520000000000000000e+02,2.264119982719421387e-01
4.530000000000000000e+02,9.285999834537506104e-02
4.540000000000000000e+02,3.660300001502037048e-02
4.550000000000000000e+02,1.453700009733438492e-02
4.560000000000000000e+02,5.828999914228916168e-03
4.570000000000000000e+02,2.413999987766146660e-03
4.580000000000000000e+02,9.840000420808792114e-04
4.590000000000000000e+02,2.549999917391687632e-04
