run_name,lambda_center,lambda_distill,lambda_anom,anom_margin,epochs,batch_size,return_code,best_val_patchcore_auroc,epoch_best
lc0p1_ld0p3_la1p0_m1p3,0.1,0.3,1.0,1.3,5,4,0,0.627,5
lc0p1_ld0p3_la3p0_m1p3,0.1,0.3,3.0,1.3,5,4,0,0.6696,4
lc0p1_ld0p5_la1p0_m1p3,0.1,0.5,1.0,1.3,5,4,0,0.607,5
lc0p1_ld0p5_la3p0_m1p3,0.1,0.5,3.0,1.3,5,4,0,0.6502,5
lc0p3_ld0p3_la1p0_m1p3,0.3,0.3,1.0,1.3,5,4,0,0.6853,5
lc0p3_ld0p3_la3p0_m1p3,0.3,0.3,3.0,1.3,5,4,0,0.7055,4
lc0p3_ld0p5_la1p0_m1p3,0.3,0.5,1.0,1.3,5,4,0,0.6732,5
lc0p3_ld0p5_la3p0_m1p3,0.3,0.5,3.0,1.3,5,4,0,0.703,5
lc0p5_ld0p3_la1p0_m1p3,0.5,0.3,1.0,1.3,5,4,0,0.6798,4
lc0p5_ld0p3_la3p0_m1p3,0.5,0.3,3.0,1.3,5,4,0,0.7438,4
lc0p5_ld0p5_la1p0_m1p3,0.5,0.5,1.0,1.3,5,4,0,0.6847,4
lc0p5_ld0p5_la3p0_m1p3,0.5,0.5,3.0,1.3,5,4,0,0.6938,4
